"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
324;"Johann Lepenant";"Nantes";14;1089;0;1;0.36;1.08;0.03;0.09
325;"Robin Risser";"Lens";20;1800;0;0;0;0.02;0;0
326;"Ben Seghir";"Monaco";2;40;0;0;0.06;0;0.15;0
327;"Mory Diaw";"Le Havre";16;1440;0;1;0;0.27;0;0.02
328;"Rasmus Nicolaisen";"Toulouse";20;1524;0;0;0.49;0.04;0.03;0
329;"Branco van den Boomen";"Angers";2;101;0;0;0.16;0.45;0.15;0.4
330;"Alexsandro Ribeiro";"Lille";5;329;0;0;0.06;0;0.02;0
331;"Darline Yongwa";"Lorient";14;774;0;0;0.57;0.96;0.07;0.11
332;"Michel Diaz";"Brest";9;655;0;0;0.15;0.03;0.02;0
333;"Badredine Bouanani";"Nice";2;88;0;0;0.06;0.04;0.06;0.04
334;"Christian Mawissa Elebi";"Monaco";7;561;0;0;0;0;0;0
335;"Sael Kumbedi";"Lyon";1;69;0;0;0.03;0;0.04;0
336;"Théo De Percin";"Auxerre";3;221;0;0;0;0;0;0
337;"Mamadou Sarr";"Strasbourg";15;1306;0;0;0.05;0.04;0;0
338;"Warren Kamanzi";"Toulouse";13;308;0;0;0.31;0.38;0.09;0.11
339;"Ibrahim Salah";"Rennes";2;22;0;0;0.05;0;0.2;0
340;"Justin-Noel Kalumba";"Angers";4;224;0;0;0.02;0.27;0.01;0.11
341;"Jérémy Jacquet";"Rennes";18;1606;0;0;0.79;0.57;0.04;0.03
342;"Tiago Santos";"Lille";7;377;0;0;0.01;0.28;0;0.07
343;"Ousmane Touré";"Lille";1;57;0;0;0;0;0;0
344;"Formose Mendy";"Lorient";2;142;0;0;0;0;0;0
345;"Guillaume Restes";"Toulouse";20;1800;0;0;0;0.06;0;0
346;"Philipp Köhn";"Monaco";14;1165;0;0;0;0;0;0
347;"Loïc Négo";"Le Havre";19;1587;0;0;0.3;1.38;0.02;0.08
348;"Josué Casimir";"Auxerre";18;1053;0;0;1.95;0.19;0.17;0.02
349;"Étienne Youté";"Le Havre";7;324;0;0;0;0.04;0;0.01
350;"Maxime Colin";"Metz";14;1082;0;0;0.21;0.13;0.02;0.01
351;"Lamine Camara";"Monaco";11;795;0;3;0.38;2.41;0.04;0.27
352;"Malick Mbaye";"Metz";5;302;0;0;0.08;0.14;0.02;0.04
353;"Abakar Sylla";"Strasbourg";1;1;0;0;0;0;0;0
354;"Clinton Mata";"Lyon";19;1675;0;0;0.12;0.07;0.01;0
